owner,totalNFTs
rfCHpFCwGtAa8zzUMDhD2YJvZCTxYEwBx1,1036
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,437
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,465
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,1439
rwxh82VYYv84W9hZG3cmpS5s37xpDAjfdF,628
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,788
rnA7GhHW2SmLFz8si6UVcZMjws91PwLBqi,505
rLUHZDHsdxixwguXSGAceaUUuo6gieHmeg,430
r4jDhMv1KdMLunGKUHoTRSWywWinAGc4VF,467
rKHgv36pazQk5PykSgwuTMfoG3xZRSWidf,573
rM5ciUrbcpgx62XwzM4hMG2XnuiF2EqX7r,850
rHwM7GiRubuut3pJW2ycC4e6vaarV5xp7,330
rnVp1xV43N7SgqtjHWCSM6EcSUYs7yWNku,902
rJUPfNcFzAeAZp8uBUPTkJP7bZdfQxYLD7,328
rUwSjEtYrFufcRcofxZb9EZtP5mPHzaQ4J,1034
r34cyGyD9FWe5huRoCnRAGvyLtuY9KAF1V,616
rEhkTc4faWkL7vLZzLPNrkq5rxzvTdScfj,453
rQEhk4sagxjPPkZrp2vYeJwUKmahC3wePG,387
rGNcPvVk7AxTp3XqXBjn5yrCojhN2JgxLc,440
rBnNUnn8Z9qLNjRVE2zXWYDByZN4Hv2WXy,441
rG9eqPbadr3gmP5RChmFbW3EaVH4UD9zA9,315
rJDbbrHXLbU86VbxknbiRzgD3UXuah7yYj,500
rLKgJPW45V6Xn7iMFfhA35ebQPruLHTizx,1518
rn2J76LYUpKffPrth6vasRHrKUmYo2pApJ,772
rLCwdbotU7C9YzkMBDdcotw6SA44834kxK,689
rp1nu7hJVyKBT3mVxCY1mVcaC4FPX2w7yA,501
rLXHjkcveWYWvaidwzpEfEHgeo7YdXLbF2,348
r9AtK1GcYeqZAA9sSPxWmXy8ECvi9M4HrP,308
rU1FMtWrCJuVm6JaRMsx5pLvw9XmJhXFCL,9138
rJ3jR7DGs49NXEaJ8sFySB8eqcdphK4KNo,1437
rM6z13XfCDKJYNhaJs6sMfhxr9zYDV9LVd,420
rsLiM3BUgkvwCdGAnARYnnHoaeZWDDUJGy,380
r3sS4di5fzXEzq2XgeVNDV3Ys4wzwDVXpU,2170
rcfAZWGQNyScMdhQx7sNHXAvyMB2ZNUZe,1041
raz21BmYpCTS6dEvpTM7Jm71WZRV4UVeVM,637
rhBt7LLzqUZ3cyFJoz4prUW3LdWNZJarvN,980
rw6ePtXv6zLUjRiD7fvsc7YdsQNi3pwuHY,500
rH1mx1mLXthfcsCxegdkg7NuXFSFpHajHP,324
rH3nmfMUEB3Y4c1fABCWGV9TH4qSFUjWJ8,2422
rGNuFE4e2c5NwEp2HnuiJqaSVdaNYRQ7PV,441
rKgR5LMCU1opzENpP7Qz7bRsQB4MKPpJb4,370
