owner,issuer,count
rfCHpFCwGtAa8zzUMDhD2YJvZCTxYEwBx1,rLULtFuV1agdSQdVmSd7AYx2cfEiN6noxY,622
rfCHpFCwGtAa8zzUMDhD2YJvZCTxYEwBx1,rMQw4pe2eXvs6b5hKLNM2MCgVqHEHwXBkJ,1
rfCHpFCwGtAa8zzUMDhD2YJvZCTxYEwBx1,rpgGBHg5tV2uPqXr8SKjdD1ZM6w9ou6XNP,2
rfCHpFCwGtAa8zzUMDhD2YJvZCTxYEwBx1,rncidPnbDNrJ3dnSVSr6WH35RS2pqN3b1M,10
rfCHpFCwGtAa8zzUMDhD2YJvZCTxYEwBx1,rKd9seqW1cuSjH8dgZpxjwXMbDwkaRPUNK,24
rfCHpFCwGtAa8zzUMDhD2YJvZCTxYEwBx1,rKgR5LMCU1opzENpP7Qz7bRsQB4MKPpJb4,300
rfCHpFCwGtAa8zzUMDhD2YJvZCTxYEwBx1,raWYT6DD2XFAvjCqRPsCCzr1CMBzJydf9E,1
rfCHpFCwGtAa8zzUMDhD2YJvZCTxYEwBx1,rGNuFE4e2c5NwEp2HnuiJqaSVdaNYRQ7PV,76
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,rLULtFuV1agdSQdVmSd7AYx2cfEiN6noxY,314
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,rJkJAujK2W4Kzrz9JEWtcXHcTt7iTaJ2f2,18
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,rDDPTdg9exZGybHcBjHWNeA2vw8scpiiCX,28
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,rJDbbrHXLbU86VbxknbiRzgD3UXuah7yYj,15
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,r3c4wuWCN95ahyERjbzNxYKAPyAN2MonEy,17
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,rNQdGWRCpY5PFbkR5ebkZ7fRHpKNcp4RXQ,2
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,rGex8yPAMhWf9r51AMWjWZtnELxY5xs1fP,39
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,raaorpu59mgUoi4sKT7BVGsxJQeDPG4zki,1
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,rKd9seqW1cuSjH8dgZpxjwXMbDwkaRPUNK,1
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,rKgR5LMCU1opzENpP7Qz7bRsQB4MKPpJb4,2
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rLULtFuV1agdSQdVmSd7AYx2cfEiN6noxY,189
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rMQw4pe2eXvs6b5hKLNM2MCgVqHEHwXBkJ,49
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rJkJAujK2W4Kzrz9JEWtcXHcTt7iTaJ2f2,11
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rDDPTdg9exZGybHcBjHWNeA2vw8scpiiCX,19
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rJDbbrHXLbU86VbxknbiRzgD3UXuah7yYj,13
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,r3c4wuWCN95ahyERjbzNxYKAPyAN2MonEy,7
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rNQdGWRCpY5PFbkR5ebkZ7fRHpKNcp4RXQ,1
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rHaDANFTy4HQRqyEcL8qNKCdQ5xik8mhq4,7
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rGex8yPAMhWf9r51AMWjWZtnELxY5xs1fP,4
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rhbzVvcLf1qzLr8du4QVRqtp7QiF92WtvA,1
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rN2LBDYYzG3zDfFzKFUEdDsT9o7fZNdSEc,1
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rpgGBHg5tV2uPqXr8SKjdD1ZM6w9ou6XNP,5
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rncidPnbDNrJ3dnSVSr6WH35RS2pqN3b1M,36
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rKd9seqW1cuSjH8dgZpxjwXMbDwkaRPUNK,8
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rKgR5LMCU1opzENpP7Qz7bRsQB4MKPpJb4,94
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,raWYT6DD2XFAvjCqRPsCCzr1CMBzJydf9E,1
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,rGNuFE4e2c5NwEp2HnuiJqaSVdaNYRQ7PV,19
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rLULtFuV1agdSQdVmSd7AYx2cfEiN6noxY,169
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rMQw4pe2eXvs6b5hKLNM2MCgVqHEHwXBkJ,1
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rJkJAujK2W4Kzrz9JEWtcXHcTt7iTaJ2f2,193
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rDDPTdg9exZGybHcBjHWNeA2vw8scpiiCX,454
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rJDbbrHXLbU86VbxknbiRzgD3UXuah7yYj,22
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,r3c4wuWCN95ahyERjbzNxYKAPyAN2MonEy,461
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rNQdGWRCpY5PFbkR5ebkZ7fRHpKNcp4RXQ,1
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rGex8yPAMhWf9r51AMWjWZtnELxY5xs1fP,100
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rhbzVvcLf1qzLr8du4QVRqtp7QiF92WtvA,1
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rpgGBHg5tV2uPqXr8SKjdD1ZM6w9ou6XNP,1
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rncidPnbDNrJ3dnSVSr6WH35RS2pqN3b1M,1
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,raaorpu59mgUoi4sKT7BVGsxJQeDPG4zki,1
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rKd9seqW1cuSjH8dgZpxjwXMbDwkaRPUNK,12
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rKgR5LMCU1opzENpP7Qz7bRsQB4MKPpJb4,6
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,raWYT6DD2XFAvjCqRPsCCzr1CMBzJydf9E,1
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,rGNuFE4e2c5NwEp2HnuiJqaSVdaNYRQ7PV,15
rwxh82VYYv84W9hZG3cmpS5s37xpDAjfdF,rLULtFuV1agdSQdVmSd7AYx2cfEiN6noxY,166
rwxh82VYYv84W9hZG3cmpS5s37xpDAjfdF,rDDPTdg9exZGybHcBjHWNeA2vw8scpiiCX,2
rwxh82VYYv84W9hZG3cmpS5s37xpDAjfdF,rncidPnbDNrJ3dnSVSr6WH35RS2pqN3b1M,26
rwxh82VYYv84W9hZG3cmpS5s37xpDAjfdF,rKd9seqW1cuSjH8dgZpxjwXMbDwkaRPUNK,1
rwxh82VYYv84W9hZG3cmpS5s37xpDAjfdF,rKgR5LMCU1opzENpP7Qz7bRsQB4MKPpJb4,389
rwxh82VYYv84W9hZG3cmpS5s37xpDAjfdF,raWYT6DD2XFAvjCqRPsCCzr1CMBzJydf9E,1
rwxh82VYYv84W9hZG3cmpS5s37xpDAjfdF,rGNuFE4e2c5NwEp2HnuiJqaSVdaNYRQ7PV,43
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rLULtFuV1agdSQdVmSd7AYx2cfEiN6noxY,127
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rMQw4pe2eXvs6b5hKLNM2MCgVqHEHwXBkJ,20
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rJkJAujK2W4Kzrz9JEWtcXHcTt7iTaJ2f2,64
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rDDPTdg9exZGybHcBjHWNeA2vw8scpiiCX,187
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rJDbbrHXLbU86VbxknbiRzgD3UXuah7yYj,1
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,r3c4wuWCN95ahyERjbzNxYKAPyAN2MonEy,88
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rNQdGWRCpY5PFbkR5ebkZ7fRHpKNcp4RXQ,3
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rHaDANFTy4HQRqyEcL8qNKCdQ5xik8mhq4,1
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rGex8yPAMhWf9r51AMWjWZtnELxY5xs1fP,20
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rhbzVvcLf1qzLr8du4QVRqtp7QiF92WtvA,2
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rpgGBHg5tV2uPqXr8SKjdD1ZM6w9ou6XNP,43
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,raaorpu59mgUoi4sKT7BVGsxJQeDPG4zki,162
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rKgR5LMCU1opzENpP7Qz7bRsQB4MKPpJb4,53
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,rGNuFE4e2c5NwEp2HnuiJqaSVdaNYRQ7PV,17
rnA7GhHW2SmLFz8si6UVcZMjws91PwLBqi,rLULtFuV1agdSQdVmSd7AYx2cfEiN6noxY,113
rnA7GhHW2SmLFz8si6UVcZMjws91PwLBqi,rMQw4pe2eXvs6b5hKLNM2MCgVqHEHwXBkJ,10
rnA7GhHW2SmLFz8si6UVcZMjws91PwLBqi,rDDPTdg9exZGybHcBjHWNeA2vw8scpiiCX,32
rnA7GhHW2SmLFz8si6UVcZMjws91PwLBqi,r3c4wuWCN95ahyERjbzNxYKAPyAN2MonEy,4
rnA7GhHW2SmLFz8si6UVcZMjws91PwLBqi,rncidPnbDNrJ3dnSVSr6WH35RS2pqN3b1M,14
rnA7GhHW2SmLFz8si6UVcZMjws91PwLBqi,rKd9seqW1cuSjH8dgZpxjwXMbDwkaRPUNK,5
rnA7GhHW2SmLFz8si6UVcZMjws91PwLBqi,rKgR5LMCU1opzENpP7Qz7bRsQB4MKPpJb4,287
rnA7GhHW2SmLFz8si6UVcZMjws91PwLBqi,raWYT6DD2XFAvjCqRPsCCzr1CMBzJydf9E,1
rnA7GhHW2SmLFz8si6UVcZMjws91PwLBqi,rGNuFE4e2c5NwEp2HnuiJqaSVdaNYRQ7PV,39
rpcUAW2XFEAg9qSuAgAbqznvb8X7cNaEBz,rLULtFuV1agdSQdVmSd7AYx2cfEiN6noxY,106
rG4LZMMxcuwvchWTyGTpoJhPxAiyutzorj,rLULtFuV1agdSQdVmSd7AYx2cfEiN6noxY,103
rG4LZMMxcuwvchWTyGTpoJhPxAiyutzorj,rMQw4pe2eXvs6b5hKLNM2MCgVqHEHwXBkJ,38
rG4LZMMxcuwvchWTyGTpoJhPxAiyutzorj,rncidPnbDNrJ3dnSVSr6WH35RS2pqN3b1M,1
rG4LZMMxcuwvchWTyGTpoJhPxAiyutzorj,rKgR5LMCU1opzENpP7Qz7bRsQB4MKPpJb4,3
rG4LZMMxcuwvchWTyGTpoJhPxAiyutzorj,rGNuFE4e2c5NwEp2HnuiJqaSVdaNYRQ7PV,13
rPujUW7FQmQpFs71kJueHjTr5CXnvYkCYb,rLULtFuV1agdSQdVmSd7AYx2cfEiN6noxY,78
rPujUW7FQmQpFs71kJueHjTr5CXnvYkCYb,rJkJAujK2W4Kzrz9JEWtcXHcTt7iTaJ2f2,12
rPujUW7FQmQpFs71kJueHjTr5CXnvYkCYb,rDDPTdg9exZGybHcBjHWNeA2vw8scpiiCX,12
rPujUW7FQmQpFs71kJueHjTr5CXnvYkCYb,rNQdGWRCpY5PFbkR5ebkZ7fRHpKNcp4RXQ,4
rPujUW7FQmQpFs71kJueHjTr5CXnvYkCYb,rGex8yPAMhWf9r51AMWjWZtnELxY5xs1fP,1
