owner,totalNFTs
rfCHpFCwGtAa8zzUMDhD2YJvZCTxYEwBx1,1036
rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg,437
rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,465
r98AFavzLpD37uR7LZ25xEyTcoovS11aik,1439
rwxh82VYYv84W9hZG3cmpS5s37xpDAjfdF,628
rDxrJmAStgQhMxEfRi9Gs5tuxfeHW93iWg,788
rnA7GhHW2SmLFz8si6UVcZMjws91PwLBqi,505
rpcUAW2XFEAg9qSuAgAbqznvb8X7cNaEBz,106
rG4LZMMxcuwvchWTyGTpoJhPxAiyutzorj,158
rPujUW7FQmQpFs71kJueHjTr5CXnvYkCYb,146
rQNuZjajuFE2WfaH89ucmv4bQF51rmVni5,78
rLUHZDHsdxixwguXSGAceaUUuo6gieHmeg,430
rhTr7YLtCL85P9To4tPdUuiDURpPMRgj5d,110
r47eK7FT1jXBF1WnwF1uWKGpL1A9zXzs4A,73
r4jDhMv1KdMLunGKUHoTRSWywWinAGc4VF,467
rPKytktsERwHvtoPBM5H6w1NcaAeUjzzhk,89
rtM5zKRjEKkAuVBbzB4c2fNDH2AeCgnbj,183
r4xNrDTeWnRUxphnyK36WL3Sq2ypfrVzyH,84
rJowsv41PndJVgnw9JbhMkRJ4UWhoPMdih,102
rPScVeKsavEVpMZbcuXyaHidfJ3KY13qRB,72
rEcCpXBFFyxWGgqXo3Ndca23nM6jSyF7uQ,53
rUtS6vBsqVibH7F89UwWK2wLX2pZQ3up3s,179
r9n6F6wxiC2Eg9FhzYozfRgEuBoMX54kFd,91
rap9dpK9v2ZmHZ1cMrvAfXojafAtM4QMWX,88
rfuHXK3tUUvMxXdYHreCyY2muKEqHtjjhs,48
r4dtHqv969A88qRvwXaKKXgkihBFPvGVi7,62
r3yrPZ8bftPamaQDV7S3YdGATCyk8g57MW,89
rKoo7rz4KtzqX6Ri9Jr2LJnXJCht7jPakQ,159
rMQw4pe2eXvs6b5hKLNM2MCgVqHEHwXBkJ,86
rxcWgVjXZ1aBUqVzGe2eUQ7tqVMBAiCAw,43
raWYT6DD2XFAvjCqRPsCCzr1CMBzJydf9E,227
rsgTHTVN56QcdjvaFgGyH1PTyBtKjdk7bA,164
rBmCoyKfwFqMLnRh1ESZB2X67woQ5YsqhA,69
rXMART8usFd5kABXCayoP6ZfB35b4v43t,70
rpqcqcpUYDKGAmrXzUGBpgWSK8HUMPbv8H,44
rnZhYkD5QNyBvBLtS9cLRsZFzjbCNYwEnp,50
rnb27g8sChCpG7TrgAn1bwH2VVBeeAAA7K,28
rhscQ81oxPp4JHbfEDxZuRU5McmtsD4rZ8,45
rpY6RArGWVJVmnBpFsEptFNxgPJ1LYNWfp,53
rpjL9CfLwzmx9csJkdPLum7YRe99dx7MCj,120
rD1XmTGDZteJ5VT6aczsPTNe5XF7sZUyXP,20
rwvALHcNYiXt4Gm6WuxGxssMZcndk4UB1K,64
rLzMrCVv6PeDHHF9bPJ4FqSRJnTNsx7Sdu,79
rm2AEVUcxeYh6ZJUTkWUqVRPurWdn4E9W,73
r4t3XX5eHf3LbBPASe4CEZxTRATUg98etL,101
rK8PmczKYHziYhcZYMtvTSsw7hXk8bijJN,68
rKTrFJRJFhpjFjg4cGmz8x7LmCKakKk63C,21
rBgc7nrQYaDodDfnPMAEPMmRrxvrAKXzhH,152
rK5EgAVm5AxMj7rgDpcMLPe25sT9zYsDeC,20
rM17ng2guYiNmyaqZ8R9Fp8aY9W2ciD4kL,24
r4frr2KXToTB8zxV2xwD8VTGEkiXcunfrV,22
rGDz1f5KscarrSAAPS5uZT7iuUSk5oEKbD,34
rD4HRrWLKmxw4kQhQtB7o8pX9464EyD6ov,18
raf8gYynjVoiVmEEGQWuwWtwdHNLHJq6T7,72
rKkow9ARevjFSTciVKeKcGnJC15Csnyw8P,112
r9Zc54QE6cuF8eEAXxMj3M7GPw6cmucRtG,17
rDCT8ehC3mGCiwfgtRNLKYzvoJEPMMTDRP,100
r4te79HPMGCKqUM9ccnd2YxZQKwxJNVhoV,13
rwoHZQXJvP9YsVeQsubS1Z7naX94Fy65K7,14
r4w8Bqq5xr5CRv1oBY4VRnyTRD21w125V8,71
r4uupycYpHX5AsSpP3o7BL9EJXZYdJVKNA,33
rEfke8U5spzWubLzjPKdV3uuDhmtnVmVZC,18
rNKKLZgoEEqV4F3qHX4yZtgr9pva6Vx7xa,13
rMzRzvqVQ8wBmKV6EUfx8X1r4Az4DMLNs1,13
rPAgMhJKwAdbGMGpiYYKYVDufW1YG62g6,20
rKQeAoJE4x1uBv7mJGV3zMDhyPrutwi53D,44
rEiU9rc7rMSZYk9JXqvDmhfG2q2KAVPX9D,42
r44MoneyvZgUo8wEidp6NXcghkZ8YVMdkB,25
raSVoKYqow13vnGw6VWK7AmLKVS4wcqBXN,19
rNG796hdFuHzGV2Nw4Y6LzAhByZDvyHMf7,20
rHwCoBDJf8x3wgBqbZFwz7EPZxYP2Ny3Tz,145
r3XqdHELPEZen3ijViPrxv9WCLx9Nq1ngk,32
